latitude,longitude,corrected distance
-14.8263811024068,132.953842517116,402200.374508102
-14.8565221116427,132.988363159143,407354.644072578
-14.8842149288398,133.025018332415,413038.280852289
-14.9160130875212,133.057919488057,418178.754388253
-14.9574966126133,133.07587792512,423049.264395478
-15.0019845081451,133.082648897519,427686.617940135
-15.046643946652,133.077220733174,432961.702802765
-15.0915985020242,133.07616638997,438036.973253857
-15.1363115474689,133.081101010743,443215.245445979
-15.1788288368639,133.0962669432,449001.403600192
-15.221346126259,133.111432875658,453149.601641456
-15.2654559395051,133.120484860052,458505.917811412
-15.3047689098015,133.143112990297,464765.905031535
-15.3476956790835,133.156997805217,468169.785225261
-15.3906224483654,133.170882620137,473399.185685106
-15.4335492176474,133.184767435057,478797.109354101
-15.477558744048,133.194341465933,483055.002922772
-15.5215682704486,133.203915496808,489208.29131902
-15.5655777968492,133.213489527684,494073.74127504
-15.6068026589158,133.232132743106,498361.664989848
-15.6397765204769,133.263881061461,503313.262381014
-15.672750382038,133.295629379817,509188.792280086
-15.7068114669594,133.326122707258,513181.072239842
-15.7363480233113,133.361345983069,519156.649741629
-15.7788600896758,133.376570989115,523518.470216945
-15.8224865139767,133.387893565904,529082.56791664
-15.8638469751951,133.406233305747,534179.989353017
-15.9061572818652,133.422062806694,538949.353719793
-15.949553223728,133.434312354556,544501.943819517
-15.9941841776863,133.428612586939,549097.633389764
-16.0373278183423,133.415428532403,554451.625660596
-16.0791216751358,133.432692418913,559711.081047734
-16.1239813715864,133.429474629888,565883.957376768
-16.1688781338574,133.426875929666,570107.39659635
-16.2137748961284,133.424277229444,575152.062487948
-16.250828996342,133.397744281724,580383.779188106
-16.2948706004886,133.388293202237,585219.510746866
-16.3389122046353,133.378842122749,590454.994749227
-16.3838782846606,133.378836980599,595195.802566647
-16.4288443646859,133.378831838449,600490.151224248
-16.4725936774426,133.389665265734,605583.419302086
-16.5147486268509,133.373341788274,612569.998306357
-16.5569035762592,133.357018310814,616100.04526353
-16.6017305406067,133.360706166974,621195.768577563
-16.6422464481289,133.38106203762,625534.129415496
-16.6776675053131,133.409977318899,631995.501217688
-16.7216971984777,133.41950930902,637696.276056281
-16.7657268916424,133.429041299142,641853.139351156
-16.8106656635952,133.427404183176,645933.427930761
-16.8556044355479,133.425767067211,650964.947412693
-16.9005432075007,133.424129951245,655783.969837507
-16.9454489135575,133.426564872091,660568.5472982
-16.9898304488036,133.434125339132,666434.179108006
-17.0342119840498,133.441685806173,672821.919344688
-17.0785935192959,133.449246273215,673157.654889509
-17.1229750545421,133.456806740256,682970.753362641
-17.1673565897882,133.464367207297,691656.677562351
-17.2117381250343,133.471927674338,691879.089956945
-17.2538672953175,133.455468277471,695842.019934463
-17.2981950588252,133.447560232141,701268.141225775
-17.3425228223328,133.439652186811,707439.529391971
-17.3874564915848,133.441440823359,710748.638361804
-17.4265131405785,133.46480100457,716101.353385389
-17.4655697895722,133.488161185781,722360.676684761
-17.5046264385659,133.511521366992,730534.571699471
-17.5436830875596,133.534881548202,731319.108137464
-17.573301902614,133.570369262578,735790.793059999
-17.607442189205,133.601069855278,741027.097972729
-17.6506990865301,133.613957438908,745778.990168258
-17.6939559838552,133.626845022538,751814.154606762
-17.7376974571718,133.637787555308,755892.729317133
-17.7775167287802,133.659722949672,760805.832155527
-17.8202661155242,133.674370236974,766983.811456265
-17.8630155022683,133.689017524276,774235.296278727
-17.9043753334386,133.707559095818,775951.611612941
-17.9488987266594,133.714174768231,781085.918454594
-17.993849464584,133.71293976113,786166.141930274
-18.0388002025086,133.71170475403,791070.859694806
-18.0831217982912,133.719685063347,795737.31421728
-18.1274433940737,133.727665372664,804172.870839478
-18.1723055755692,133.724450200982,806292.405388353
-18.2168537855443,133.730888452961,811009.40019863
-18.2514034042254,133.761190759302,816475.30542123
-18.2917115027761,133.782183256852,822833.350432044
-18.3320196013268,133.803175754402,826163.356680454
-18.367972780703,133.831630315197,831061.023202962
-18.410267576269,133.847720905977,837042.531464624
-18.4537857207203,133.859652725338,841318.077053784
-18.4969668857245,133.872878241812,846645.165428436
-18.5366244063144,133.895234415785,851993.935715978
