Longitude;Latitude;Elevation;Distance;Gradient;Maxspeed;Surface
130.988777;-12.47058;37.25;19020.43883;0.000897101;80;paved
130.989156;-12.470663;38;19062.60973;0.017784775;80;paved
130.98953;-12.470745;39.25;19104.22659;0.030035905;80;paved
130.989746;-12.470784;40;19128.07561;0.031447833;80;paved
130.990231;-12.47088;40.25;19181.80385;0.004653047;80;paved
130.990589;-12.470953;39.5;19221.51095;-0.018888309;80;paved
130.991886;-12.471243;43;19365.97292;0.02422783;80;paved
130.992923;-12.471526;41.75;19482.87619;-0.010692601;80;paved
130.993582;-12.471754;41.75;19558.78344;0;80;paved
130.993937;-12.471908;42.75;19600.95894;0.023710453;80;paved
130.994182;-12.472021;43.25;19630.37719;0.016996251;80;paved
130.995141;-12.4725;44.5;19747.32903;0.01068816;80;paved
130.995459;-12.472681;45.5;19787.29246;0.025022877;80;paved
130.995761;-12.472853;46.25;19825.25112;0.019758336;80;paved
130.996523;-12.473287;46;19921.02827;-0.002610226;80;paved
130.996965;-12.473585;45.5;19979.34513;-0.008573849;80;paved
130.997104;-12.473684;45.5;19998.02477;0;80;paved
130.997176;-12.473738;45.5;20007.88178;0;80;paved
130.997261;-12.473796;45.75;20019.14047;0.022205067;80;paved
130.997331;-12.473846;45.75;20028.55692;0;80;paved
130.997438;-12.473926;46;20043.18861;0.017086199;80;paved
130.997529;-12.473993;46.25;20055.56259;0.020203683;80;paved
130.998042;-12.474377;46.5;20125.74295;0.00356225;80;paved
130.998851;-12.475142;43.5;20248.01532;-0.024535388;80;paved
130.999429;-12.475779;41.75;20342.64626;-0.018492895;80;paved
131.000056;-12.476483;37;20446.38569;-0.045787796;80;paved
131.000282;-12.476737;35.75;20483.79879;-0.033410752;80;paved
131.00354;-12.48018;32;21005.03209;-0.007194475;100;paved
131.004311;-12.480987;36;21127.74656;0.032595991;100;paved
131.005292;-12.481875;32.75;21272.98069;-0.022377661;100;paved
131.006076;-12.482511;29.5;21383.64275;-0.029368691;100;paved
131.00757;-12.48367;26;21590.8068;-0.016894823;100;paved
131.007985;-12.484056;25.5;21653.0336;-0.008035123;100;paved
131.008685;-12.48476;29;21762.13606;0.032079939;100;paved
131.009424;-12.485774;36.5;21900.51871;0.054197542;100;paved
131.01023;-12.487106;37.75;22072.54746;0.007266228;100;paved
131.010565;-12.487861;40.25;22164.03887;0.027324968;100;paved
131.010857;-12.488632;41.75;22255.44342;0.016410562;100;paved
131.011063;-12.489528;42.25;22357.55328;0.004896687;100;paved
131.011161;-12.489975;42.75;22408.38334;0.0098367;100;paved
131.011475;-12.491405;42.75;22571.00509;0;100;paved
131.011775;-12.492914;42.5;22741.92984;-0.001462632;100;paved
131.01205;-12.493827;44;22847.74951;0.014175058;100;paved
131.012489;-12.494948;44;22981.19927;0;100;paved
131.013037;-12.495964;43;23108.88002;-0.007832034;100;paved
131.013747;-12.497177;44.75;23264.2296;0.011264916;100;paved
131.014;-12.497617;45.25;23320.33752;0.008911398;100;paved
131.014078;-12.497755;45.5;23337.86373;0.014264356;100;paved
131.014151;-12.497885;45.5;23354.34889;0;100;paved
131.014253;-12.498063;45.25;23377.02851;-0.011023114;100;paved
131.014365;-12.498265;45;23402.56961;-0.009788145;100;paved
131.016305;-12.501616;45.75;23830.58337;0.00175228;100;paved
131.019237;-12.506732;38;24482.44655;-0.011888998;100;asphalt
131.020667;-12.509229;36.25;24800.54946;-0.005501364;100;asphalt
131.021313;-12.5103;31;24938.75262;-0.037987555;100;asphalt
131.021617;-12.510727;27.75;24996.5749;-0.05620671;100;asphalt
131.02197;-12.511167;26;25058.72098;-0.028159457;100;asphalt
131.022449;-12.511718;25.25;25139.07995;-0.009333122;100;asphalt
131.022969;-12.512253;24.25;25221.0883;-0.01219388;100;asphalt
131.023566;-12.512761;22.5;25307.05743;-0.020356144;100;asphalt
131.024217;-12.513269;19.25;25397.5274;-0.035923521;100;asphalt
131.024969;-12.51373;19.5;25493.91982;0.002593565;100;asphalt
131.025837;-12.514209;20.75;25602.15611;0.011548807;100;asphalt
131.02659;-12.514527;23;25691.21699;0.025263617;100;asphalt
131.02761;-12.51486;27.25;25807.96837;0.03640214;100;asphalt
131.028004;-12.514971;30.75;25852.48354;0.078624881;100;asphalt
131.028584;-12.51514;34.25;25918.18879;0.053268188;100;asphalt
131.029452;-12.515376;35.75;26015.99865;0.015335878;100;asphalt
131.030537;-12.51569;37.5;26138.84453;0.014245491;100;asphalt
131.03102;-12.51585;38.5;26194.2117;0.018061244;100;asphalt
131.031392;-12.515986;39.5;26237.33198;0.023190948;100;asphalt
131.031636;-12.516093;40.25;26266.36832;0.025829698;100;asphalt
131.03216;-12.51635;40.25;26330.02481;0;100;asphalt
131.032438;-12.516508;40.5;26364.94394;0.007159398;100;asphalt
131.032867;-12.516796;40.25;26421.46126;-0.004423423;100;asphalt
131.035367;-12.51851;41.75;26753.07942;0.004523275;100;asphalt
131.037116;-12.519733;44.75;26986.61516;0.012845999;100;asphalt
131.038421;-12.520656;44.5;27161.54569;-0.001429139;80;asphalt
131.038535;-12.520739;44.5;27176.98306;0;80;asphalt
131.040126;-12.521854;45.25;27389.58149;0.003527778;80;asphalt
131.040234;-12.521933;45.5;27404.23085;0.017065593;80;asphalt
131.04088;-12.52239;45.75;27490.83073;0.00288684;80;asphalt
131.042683;-12.523654;45.75;27731.78441;0;80;asphalt
131.043295;-12.524086;46.25;27813.76428;0.006099059;80;asphalt
131.044204;-12.524723;45.75;27935.22626;-0.004116514;80;asphalt
131.044289;-12.524783;46;27946.61233;0.02195666;80;asphalt
131.044342;-12.524822;46;27953.81678;0;80;asphalt
131.04448;-12.524919;46.5;27972.2756;0.027087325;80;asphalt
131.046066;-12.526047;49.5;28185.27908;0.014084277;80;asphalt
131.046786;-12.526652;51;28288.39938;0.014546119;80;asphalt
131.047641;-12.527418;49.5;28414.36854;-0.011907676;80;asphalt
131.048724;-12.528552;50.25;28586.76221;0.004350508;80;asphalt
131.049088;-12.528939;50;28645.18242;-0.004279341;80;asphalt
131.05106;-12.531335;49.75;28986.94293;-0.000731506;100;asphalt
131.052013;-12.532559;47.5;29157.89496;-0.013161586;100;asphalt
131.053469;-12.534303;46.75;29408.06227;-0.002997994;100;asphalt
131.055139;-12.536328;46.75;29697.12952;0;100;asphalt
131.055297;-12.536514;48.5;29723.99727;0.065133854;100;asphalt
131.057465;-12.538993;49.5;30086.43423;0.002759101;100;asphalt
131.058676;-12.54034;49;30285.71217;-0.002509058;100;asphalt
131.059217;-12.540942;47.75;30374.75746;-0.0140378;100;asphalt
131.06081;-12.543176;47.25;30677.41893;-0.001652011;100;asphalt
131.063258;-12.546608;47;31142.42928;-0.000537622;100;asphalt
131.066203;-12.550862;42.75;31713.32754;-0.007444409;100;asphalt
131.067474;-12.552668;43;31956.96329;0.001026122;100;asphalt
131.068633;-12.554185;42.75;32167.38666;-0.001188081;100;asphalt
131.069389;-12.555259;42.25;32312.2821;-0.003450764;100;asphalt
131.071021;-12.557612;42;32628.24308;-0.000791237;100;asphalt
131.071472;-12.558295;42.5;32718.59705;0.005533791;100;asphalt
131.071619;-12.558517;42.5;32747.98943;0;100;asphalt
131.07198;-12.559063;42.5;32820.24692;0;100;asphalt
131.072489;-12.56016;42;32954.15439;-0.003733922;100;asphalt
131.073016;-12.561571;40.5;33121.15107;-0.008982214;100;asphalt
131.073101;-12.561902;40;33159.09515;-0.013177286;100;asphalt
